,Customer Name,Date,Ratings,Review Title,Reviews
22,Kindle Customer,24 February 2021,2.0 out of 5 stars,NOT HAPPY,"Received the product, there was no instruction manual accompanying the fryer. A skimpy printout, in a million languages, extremely brief and uninformative. I am extremely disappointed, at least a basic recipe book is a must. I had expected a better accompaniment from a reputed company, like Philips. There is no way the cord retracts, as mentioned. Am sorry that the product is non-returnable, else I would have opted for it at once. An expensive trinket for the kitchen DISAPPOINTED, TOTALLY. Am stuck with it. A total NO-NO."
23,Rajiv Menon,17 December 2020,1.0 out of 5 stars,Get the correct instructions for proper  useage of the product.,"I am afraid I cannot give an opinion on the product as it has not been used so far. There are no clear instructions nor a brochure illustrating the proper useage of the product. I do not want to damage the product without proper instructions. This is an expensive product !I would be grateful if I can get proper instructionson for its useage. I am sure it is a very good product, but I have to  first use it. Hope I can get positive response from concerned department on my query.Thank you,Rajiv Menon"
24,Saswata,28 November 2020,2.0 out of 5 stars,No after sales service in my location,"There was no product demo online, nor did any person visit to demo the usage.It was a bad after sales service experience in my location.I tried contacting philips customer care fpr hours, but never got connected to any of their operatives.I am clueless how to use it and the fear of burning away the air frier keeps me from using the product."
25,Varun A.,2 December 2020,3.0 out of 5 stars,Think before you buy. Check other brands as well,"Demo provided by company after 8days and when used for first time, it stopped working within 15min. Logged complaint with Philips n they said can repair but denied aa new product. Logged complaint on national consumer forum n Philips replaced product in 10days.Bought on 27oct and got replacement on 28nov"
26,Amey,27 October 2020,2.0 out of 5 stars,Looks good but no user manual or cooking guide,Package and delivery was up to mark. Thanks Amazon. There is no user manual ot cooking instructions help documents included with it. If you buy from Chroma you get the same. Manual attachment on discription page is corrupted and unable to access it.Now will have to check on you tube..will provide more feedback once I use it.
27,Rk,19 December 2020,2.0 out of 5 stars,Not worth the money...too much hype of electric fryer,"Its not so sophisticated...not sure why they charge so much in the name of a electric fryer. Once started there’s no button to stop or pause, even when you take out the tray the fry still runs....I hope someone would have already figured out to make an electric fryer with a small fan on top of a heating coil"
28,Kapil,15 August 2018,3.0 out of 5 stars,"Clearing old stock, without disclosure","Product is good.But, Amazon should disclose date of manufacture in advertisement.It was more than two years old manufacture."
29,Ashish Anand,19 January 2021,3.0 out of 5 stars,"Product has scratch on the teflon coating, no booklet","Really disappointed by the Air Fryer. There was no instruction guide,  recipe booklet, warranty card, etc. Looks like a used product. Once we open the pull out container found a scratch inside over the teflon coating . Didn't expect this from a brand like Philips. Bad experience."
30,Ambika,9 December 2020,1.0 out of 5 stars,Worst experience with Amazon. Philips had loat one customer today,Worst product received from Amazon had received airfryer in broken condition. The courier person was bad in speaking he dint helped me replacing my item thought he bought a new replaced Airfryer he took it back saying that you might have demanded it.
31,nm,18 July 2019,4.0 out of 5 stars,Good product,"Versatile product, easy to use. Innovation in recipes can be tried for optimum utilization. I've tried baking, making curries, frying onions for masala of curries after buying the accessories...very little oil needed so overall healthier cooking without compromising on taste"
32,Neelima,28 October 2018,2.0 out of 5 stars,Something gave way on first use!,"It seemed very nice & strurdy. But after 1st use, a metal strip, don't know what it is supposed to do, came down and blocked the food tray from going in again. Likely to return."
33,Samrat,16 November 2020,5.0 out of 5 stars,Great product from Philips,"Compared to other Air Fryer, Philips product is robust and lasts long. Have used it since the day we received it. Great product. No issue at all.  Good value for money. We were a bit apprehensive about the product after reading reviews by other users. But found the product to be a great one. Must have if you want to have tasty and healthy food."
34,Aman ,22 November 2017,5.0 out of 5 stars,Philips Airfry is a wonderful User Friendly Product,"Philips Airfry is a wonderful User Friendly Product,  very useful for people who are Calorie Conscious.... Thank u Amazon for Prompt Delivery with Good Packing"
35,BHANU PRATAP SAMANTARAY,20 August 2020,4.0 out of 5 stars,Recipe book and warranty card found missing.,Recipe book and warranty card found missing in the box..please arrange to deliver to my address since it is a part of complete package.Kindly resolve the issue at the earliest.A line of confirmation in this regard will be highly appreciated.Looking forward for a favourable response.
36,Amazon Customer,22 September 2019,1.0 out of 5 stars,Loose spring,"Received the product with a spring loose, so it wasn't easy to insert/remove the tray. The replacement also has the same defect. GLittle disappointed that I received a defective product twice, but Amazon return/refund was hazzle free.The packaging was good. So, I guess this is a manufacturing/factory defect."
37,Joyous Tiger,31 January 2019,2.0 out of 5 stars,Durability - electrical wiring,Whilst the overall product is designed and works well. The quality that you expect from Philips in the wiring that connects the appliance to the electric socket is not done well. The coil holding has come lose in less than one month of use and one wire is sticking out.
38,Lynette,5 September 2020,4.0 out of 5 stars,Good Product,"The product is a must in every household, happy with the purchase. It's only drawback is the cleaning process; as the food tends to stick to the grill and it becomes difficult to clean."
39,Smita,5 September 2020,5.0 out of 5 stars,Good product,"Roast food evenly. Frozen snacks come out so well that you can't tell the difference between fried ones or Air-Fried ones.if you are a foodie and still want to avoid oil, then definitely go for it.  Only one thing is , it is very difficult to clean."
40,Monika,14 November 2018,1.0 out of 5 stars,Received broken!!!,"Very disappointed with the item, received my air fryer today with crack on the handle and front left side of the air fryer is broken with the  size of table tennis ball hole. I am scared to reorder this time again"
41,Mayank S.,21 March 2021,5.0 out of 5 stars,Brilliant,"Reduces 90% fat and 75% guilt.Convenient and useful.The hearing time and preparation time seems a little too much, with 15-20 minutes preheat time and an equal food preparation time, but it’s worth it. Everything is so crisp and well made."
42,Subodh Sood,29 October 2020,1.0 out of 5 stars,Faulty Product Delivered,"The product should be checked before dispatch by seller weather it is in working condition as quality check. Why the faulty product delivered by such big brand. Further Amazon has removed the option of return. Customer faith has been shaken after buying branded without option of return the product , if it is faulty."
43,UdayaBhasker G.,18 June 2020,5.0 out of 5 stars,Superb airfryer for all your snack needs.,Wonderful cute device for healthy snacks. Enjoying daily/ weekly using it . Can’t write more. Have no words. Can’t forget its “ting” calling bell once the snack is ready..😄 Highly recommended.
44,Sukanya Samanta,19 December 2020,5.0 out of 5 stars,Must buy..,These are some of the pics of all cooking done. We just love the airfyer..I couldnt find the pic of Samsosa and Gujiya..but everything is prepared very well. I am reviewing it after 1year of regular use. It's a must buy.
45,Vish,30 November 2019,5.0 out of 5 stars,"If you are conscious to bring down the oil in take in your food, this is a good product.","For those who are becoming conscious of daily consumption of oil through our staple food, this is a great product to add to your kitchen.  Apart from the recipe suggested by Phillips' cook-book, you have a lot of opportunity to be creative as to how you want to use it."
46,CHANNA C REDDY,22 November 2020,1.0 out of 5 stars,Malfunctioning Fryer,"I have used air fryers before and never had this problem. The basket is not going into the air fryer. I have not even used it once properly. How am I supposed to cook anything if the basket is not locked into the fryer?Why is amazon sending so many defective products like this. Don't you guys do quality checks.Waste of 10,000. If I can give zero stars I would."
47,Harpreet,31 October 2020,1.0 out of 5 stars,Not Expected !!!,"Used item...!!Body full of scratches...inner tray rusted, full of oil stains and stinking of fried chicken.Even droplets of water found in the tray, clearly indicating someone has used...washed...and repacked the item."
48,Rohit Rawat,1 August 2017,1.0 out of 5 stars,One Star,Received damage product
49,Jaganath Pradhan,13 October 2020,5.0 out of 5 stars,Awesome product!!!,"A very versatile product. From making tikkas to fried items to baking cakes, everything comes out perfect.The only con is sometimes the food items stick to the grill mesh and it can be a little difficult to clean. Though some racks are available using which can make our work easier but we have to buy it extra not provided with this product."
50,AMAZON CUSTOMER,3 January 2021,1.0 out of 5 stars,Handle broke om day 1,The handle broke om day 1Myblast philipsair fryer (from amazon) was amazing qualityI didn't even look for another brand even though they were cheaperTerrible qualityVery dissapointed
51,Mahesh,3 December 2020,4.0 out of 5 stars,Test is best but not par with the price,1. Inner space is very less as compare to oven2. Time consuming3. Less fat upto 90 % how this formulated . What is the base for that.4. This product tagged Made in china came know after purchasing
52,Cookie monster,20 August 2020,2.0 out of 5 stars,Received damaged product,The product received was damaged. The handle was lose. The first day the fryer made a loud noise. The next day it stopped working. Had to return it as replacement was not possible.
53,Jatin Nagori,4 November 2020,5.0 out of 5 stars,very good model,"The product is very good. However, we could not find the Operational manual Book and Recipe Book inside the box.Please arrange to send them at the earliest."
54,SACHIN GOKHALE,1 November 2019,5.0 out of 5 stars,Super duper product,"Awesome hassle free Roasting, Grilling and Frying and that too unbelievable without oil.100% oil free. Be it Chicken, or Fries. They are just unbeatable...Super quality non stick surface, just clean with wet cloth and some soap to get it ready for use again😎"
55,Ani B.,31 January 2020,5.0 out of 5 stars,Excellent Product,"Oil-free cooking. The taste is a bit different because the oil is not there - but not bad at all!Good capacity. Especially if you cook non-veg often, this makes it soooo guilt-free!"
56,Gaurav B.,18 September 2020,5.0 out of 5 stars,Great addition to my kitchen,"I love this air fryer. It does consume quite a bit of electricity, but overall I am happy. I have cooked quite a few things in it such as fries and samosa, and all of it tastes great."
57,Sai,21 June 2020,1.0 out of 5 stars,Broken and damaged,"So this is how it was delivered. Broken and shattered into pieces. The plug was also burnt, tray handle was burnt, knobs were pulled out, scratch marks all over. It was a completely damaged piece!! So very disappointed!"
58,LOKESH,11 July 2020,1.0 out of 5 stars,Incomplete/ torn off Bill,Kindly forward fresh copy of bill as the previous bill is incomplete.Philips customer care are not willing to accept the incomplete bill for warranty.Kindly confirm ASAP.Kindly forward the fresh copy of bill in my mail id-  lokeshrawal. rawal@gmail.com
59,Amrita,23 February 2021,5.0 out of 5 stars,Very happy with the product, Very happy with the product.. It is very useful. Very easy to use. 😍
60,Shankar,30 October 2020,1.0 out of 5 stars,"FAKE, FRAUD & CHINA Prouduct, STICKY Base",Have an horrible experience with tandoori and tikka items. See the picture how sticky its base is. PHILIPS is an absolutely FAKE and FRAUD Company. I am thinking how to return it. Amazon only replaces but doesn't return.
61,Sijo thomas,21 October 2020,5.0 out of 5 stars,Trust branded more more at philips,Philips what write coment always this brand i think all product its awasome....this product its amazing
62,Amazon Customer,8 October 2020,1.0 out of 5 stars,Will never recommend,"Very bad experience....never recomond this product,first time broken grill of exhausted, replacement done with open package and made in China.....vary much disappointed"
63,Kailash,6 December 2014,5.0 out of 5 stars,Fast and a very effective way of cooking.,"Fantastic piece of technology. It is reliable. Cooking in this air fryer is an experience. It is easy and cooks perfect. The taste of food cooked in this air fryer is subjective as we are so used to eating oil fried food. It takes a while to adjust our taste buds. But, gives you the guilt free feeling. I recommend this product to each and everyone. It is a worth product in your kitchen."
64,Megha,29 October 2020,4.0 out of 5 stars,Good product at reasonable price,The product is working as per expectations but the point is that this product is not made in India.
65,AYAN HALDAR,23 October 2019,5.0 out of 5 stars,Bye bye oil,Excellent product if you have not still bought this then buy it actually works! I has no radiation just simple mechanism that it has coil which heats up and a high speed fan which flows air through the coil i.e. air gets hot due to coil and that hot air fries the food simple .And best part is no need of oil!
66,Dibyajyoti Oja,11 December 2020,4.0 out of 5 stars,Convenient and healthy.,It is easy to operate with virtually no technology. Boneless chicken can be cooked in 15 mins at 200 degree.
67,James Tom,9 December 2020,4.0 out of 5 stars,Good healthy food,Pros:Good healthy foodEasy to useCons:The manual timer is a bit loose and difficult for precise setting.
68,Srabanti Majumdar,7 December 2019,5.0 out of 5 stars,Great...😘😍,It is a great product..but will be very happy if the power cable length is increases and the tray net will be at best quality....😘😍today it is delivered and me n my mom made tasty french fries.....
69,Sak ,29 March 2021,3.0 out of 5 stars,Defective product the first time,"Got a fake one the first time. Did not even come in an authentic Phillips box. Post exchange, the product came packed in a Philips box and seems authentic. Be careful when you order. Ensure it’s completely sealed and that the fryer is also neatly packed and has stickers on the product."
70,Divyaman Ramawat,27 September 2020,5.0 out of 5 stars,Good product,"Works fine, easy to operate, great product to cook healthy oil free meal. But I didn’t receive the recipe book as mentioned the product description."
71,Nkf,9 December 2018,5.0 out of 5 stars,Absolutely worth it,"Have cooked chicken, made cakes and biscuits too in this. Very easy to use and clean. Have had it for more than a year now. With proper use and maintenance it's still as good as new. Please note as this is small size, large amount if good will have to be cooked in batches. If you are cooking large amount often go for a larger sized airfryer."
72,rohini talla,23 January 2021,4.0 out of 5 stars,Better to buy in shop not in amazon,There is no air fryer basket steel lid.There is no philips catalogue nor recipe book.Dont buy online
73,Stuti R Dtanwala,10 November 2020,3.0 out of 5 stars,No recipe booklet,No recipe booklet. Not sure how to use. App also only has 9 recipes. Can someone help here. Buyer needs to help.
74,AS,23 October 2020,1.0 out of 5 stars,Air fryer no booklet,"There is NO proper instruction booklet on exactly how to use the air fryer? Only leaflet of problem shooting, danger, warning???"
75,Sabu joseph,18 November 2020,1.0 out of 5 stars,Due to manufacturing defect. it cannot be repaired.so please cancel this order  .,I have opened the product on yesterday.its unable to use due to manufacturing defect.we call Philips service centre.they came here and told it's manufacturing fault and cannot repair. So request you to please cancel this order and reverse my money at the earliest.
76,Sowgu,6 November 2019,5.0 out of 5 stars,Happy Cooking,"Good product, very less oil but taste remains same. Tried french fingers, wedges, tikkis, pizza pockets, bhindi fry and other similar stuff. My kids enjoyed. Keep in mind fo pre heat and set temperature as per the instructions given in the manual"
77,RAMESH POOVAIAH BALIADA,24 November 2020,5.0 out of 5 stars,wonderful. healthier cooking options. very easy to handle.,"cooks meat ,fish, chicken very fast and easy to operate. time saving and finally maintains the taste."
78,Norsie Monteiro,17 September 2020,3.0 out of 5 stars,Air Fryer,The inside filter does not dismantle in this product so baking a cake gets difficult as you can install only a smaller baking vessel inside it. Not bad though
79,Amazon Customer,2 January 2021,5.0 out of 5 stars,Good,"After one month of usage, I am happy with the product. Good for oil free cooking."
80,SkyLamp,8 November 2020,5.0 out of 5 stars,Healthy...,"And Tasty. Easy to use. Real, new food possibilities for expanding the variety of food at home."
81,jagadeesh kumar y,31 May 2020,5.0 out of 5 stars,Kitchens most valuable...,Product quality is good and easily we can go through. For food lovers it’s a must product that your kitchen needed.
82,shailendra mandge,1 August 2020,5.0 out of 5 stars,Very good and must buy for health,Fantastic product. you can enjoy your snacks without oil. My children's are loving it.
83,Gurpreet Bhalla,25 November 2018,1.0 out of 5 stars,Faulty design,"Faulty design, returned it twice as it had the same problem"
84,sangeeta chandrashekar,11 November 2020,4.0 out of 5 stars,Good,"Product was good overall. Good taste, almost no oil, just like eating fried food. But the packaging by Amazon was bad. Everything seemed torn. Disappointed in the packaging."
85,Visala,30 January 2021,4.0 out of 5 stars,Good product 👍🏻,"Product is good and very clean, no damage and this is the pic of first item made in it.(Could anyone help with how to fry fyumus in it?) The product was good"
86,Dipti ,6 October 2019,1.0 out of 5 stars,Not worth it,"Doesn't really work the way you want it to work , the food keeps getting burnt not just this ! Wouldn't suggest buying an airfyer ! Could rather invest that money on a convection oven"
87,Subhasis Dutra,25 October 2020,4.0 out of 5 stars,Making customers fool as its origin is China although Phillips is a Netherlands company,"Product is good but made in China, this is my hated ciuntry and Amazon is selling this product although i have purchased seeing the Phillips brand name"
88,Arun A.,10 August 2016,4.0 out of 5 stars,Convenient and healthy option of cooking,"I am happy to use it on regular basis to cook fish, chicken, fries and vegetables. It takes a while to optimise it's use in terms of time to air fry the given item, but oil use reduces drastically. Marinating is an important step."
89,Amazon Customer,14 November 2017,5.0 out of 5 stars,Five Stars,Find it effective as it consumes significantly less oil
90,mayank,31 January 2021,1.0 out of 5 stars,Broken/damaged product, I just opened the packaging and the product is broken.
91,Sumathi Anand,11 February 2019,5.0 out of 5 stars,Very good product,"I got the product as they mentioned in the website, i got it in time. I am using this product everyday as of now no pblm, quality is good."
92,Amit P.,23 December 2020,3.0 out of 5 stars,Seller not good,Seller has supplied a defective product. Have to coordinate with Philips persons to fix the problem
93,Ashish Jha,27 November 2019,3.0 out of 5 stars,How to cook more better,I used this product for preparing chicken and French fry. Chicken preparation was not up to the mark. I tried lots of time but the taste is not good of the material which is prepare in it
94,shashi,25 October 2015,5.0 out of 5 stars,Happy with the product,"I have used it only twice as purchase is very recent.  I tried a recipe in the booklet.  It was fine.  I tried kurdai,  a Maharashtrian dried savory which needs frying to fluff it and make it crisp. That too was crunchy and light though didn't fluff. I am happy with the product"
95,Amazon Customer,6 September 2020,5.0 out of 5 stars,Worth the price.,Must for health conscious people.
96,Amazon Customer,31 October 2020,1.0 out of 5 stars,No instruction manual,No instruction manual or recipe book..unclear how to even open the fryer..extremely disappointed
97,Ajay Maliyackal,18 June 2020,2.0 out of 5 stars,Product is good,The product does what it's intended to do. I guess seller misplaced the recipe book
98,Amazon Customer,10 October 2019,1.0 out of 5 stars,Let down,I bought this item and it was not working properly. Returned it and requested for replacement but the second one was also defective with its spring out of the coil. Expected a better service from both Amazon and Philips. Very disappointed.
99,Sakshi Singh,8 November 2019,5.0 out of 5 stars,Good,Really good.. it gives the same fried taste with the least bit of oil
100,Pradeep,5 March 2021,5.0 out of 5 stars,Quality airfryer,"Works well. ,Less space for cooking ."
101,Sudhanshu Kumar,30 August 2019,5.0 out of 5 stars,Excellent product. Healthy cooking.,Genuine product and very easy to use. We are able to cook Samosa and fries with barely a brush coat of oil. Got an excellent bargain.
102,Raju Nath,28 November 2018,5.0 out of 5 stars,Fabulous,Product is good as expected. Very easy to use. Food can made in very less oil. Good for health.👍👍👍👍👍
103,Nimisha,27 July 2020,1.0 out of 5 stars,Broken piece delivered.,Damaged product delivered!
104,nishant singh,25 September 2020,4.0 out of 5 stars,"Good product :),  cook book missing :(",Good and useful product.In the included component section of the product it was mentioned that cook book is in. But product recevied didn't have it.
105,Shekhar Sharma,17 December 2019,2.0 out of 5 stars,Minimum one month return policy,The indicator light sometimes goes off after 15 days of buying.
106,A.D.,3 December 2015,5.0 out of 5 stars,Amazing product by Philips and a great price from Amazon.,Amazing product by Philips and a great price from Amazon. A must buy for foodies.Received a cashback of Rs.1500 which got credited to the account after 3 months. No problem there as this was the condition at the time of buying.
107,MAGESH KUMAR,18 September 2020,2.0 out of 5 stars,No warranty,"Product delivered without warranty card, recipe book is not available and even no  giude sticker pasted on the product to use and  there no receipe book inside."
108,Amit,7 December 2018,5.0 out of 5 stars,"Easy to use, making food tasty and healthy","Very easy to use, cooking food without oil, which is good for health.Taking very less time to cook, and food is very tasty even we use less spices.I recomend to not to take air fryer of any other company cause it takes more time to cook compaire to philips air fryer."
109,Amazon Customer,2 November 2019,5.0 out of 5 stars,Happy with the product,The product is easy to use and easy to clean . Setting it up is easy. Best to fry frozen fried food.In 15 mins food is ready. Capacity is also good.Amazon delivery was also on time.
110,HPCL A/c Sanjeev Tiwari,27 May 2017,5.0 out of 5 stars,One day you will have it,A must for every homemaker who cares for her family and believe in low oil cooking. This philips  item is a top notch product
111,Vinay Kumar,5 November 2018,5.0 out of 5 stars,I loved it!,Good one for health watchers. Till now I have prepared only chicken recipes and it really works well. Quality of the product is fine and good handling.
112,Amazon Customer,3 October 2020,4.0 out of 5 stars,Good product.,"I bought this last month. Not used much. But have tried fries, chucken n fish fry. They turned out crisp n good. And most impt, it is stress free."
113,Ram Bawa,27 May 2019,5.0 out of 5 stars,Worth the money,"I have tried like 3 air fryers till today but this one is the best , the packing quality and the product quality both are the best."
114,Praveen S,12 October 2019,4.0 out of 5 stars,Some pain but gain,Been using it for a year regularly to fry chicken and French fries. Fries with zero oil yet tastes good. Does not have accessory to fry papad and cleaning is a challenge.
115,Ashok Takoo,24 October 2020,5.0 out of 5 stars,Very poor customer service for this product,"Model was delivered without operation manual, cook book and warranty cardLooks like somebody had returned after purchase and kept the documents with himself"
116,Arnab Das,4 March 2021,5.0 out of 5 stars,Very good,Very good
117,Rinzeen,7 October 2020,5.0 out of 5 stars,Does what it says,Works well like all other air fryers. Sturdy and looks like it's  been built tough. Does what it says. Consuming less oil now.
118,Shashank,31 October 2020,2.0 out of 5 stars,Chinese product,"No user manual. No warranty Card, no recipe guide. Item sent is manufactured in China"
119,Shweta Ghatpande,21 October 2020,3.0 out of 5 stars,Manual of instructions,We have not received any user manual and operational instructions and recipe books.
120,Tejaswini Raghavendra,13 January 2019,1.0 out of 5 stars,not worth for this price,"worst product, you can always buy a better  product half of this price"
121,Amazon Customer,3 December 2018,5.0 out of 5 stars,Good product,Very good experience since purchased. Always found best performance. Cleaning is bit tricky.
122,Sundeep,22 October 2016,5.0 out of 5 stars,Eat Healthy,"Amazing product, didn't believe first that one can fry less oil or without oil. My entire family is very happy and Yes this is Healthy Family gift on Diwali I gave to my family"
123,Prashanth Hariharasubramanian,26 October 2015,5.0 out of 5 stars,"Good product, havent tried all the recipes yet","Good product, havent tried all the recipes yet. Fries seem to turn out Good, Cutlet too. Oil Consumption is greatly reduced thanks to this. Takes around 10-15 mins for fries to be done."
124,Amazon Customer,12 January 2021,4.0 out of 5 stars,Recipes,Wish there were recipes
125,Baskar T V,6 April 2021,5.0 out of 5 stars,Good,Good
126,Manish Kumar,11 July 2020,5.0 out of 5 stars,Excellent,Excellent
127,Harcharan S,28 November 2020,1.0 out of 5 stars,"Very cheap product, not worth buying",Very cheap productnot worth buyingBasket is worstWith just 15 mins outer surface got too heat
128,Housewife,18 August 2020,1.0 out of 5 stars,Incomplete order received,Did not receive the recipe book.For such an expensive product not getting complete set is unacceptable.
129,Dr Jasleen,31 January 2021,5.0 out of 5 stars,Awesome product,It cooks well with zero oil.
130,snigdha ganguly,27 December 2020,4.0 out of 5 stars,Good product go for it.,Philips I love you bro. Good product go for it.
131,Mahesh Krishna,14 July 2019,5.0 out of 5 stars,Best in class,"Best in class , very useful and nice product from Philips"
132,sahani,20 July 2019,3.0 out of 5 stars,Satisfactory,Useful but is not that good as the one I used in the U.S
133,Neha Mathur,12 September 2020,5.0 out of 5 stars,Must have product at home,"Must have product at home. I use it on a daily basis to heat up breads, cook frozen food and even serve hot roti and Paratha."
134,Nesarajan,18 December 2020,5.0 out of 5 stars,Good product,Easy to use
135,Vania Azevedo,9 December 2020,5.0 out of 5 stars,Amazing,Great product.
